variant_id,period,slippage_bp_per_side,actual_start,actual_end,rows,final_NAV,net_total_return,CAGR,MDD,00631L_buyhold_return,00631L_buyhold_MDD,excess_vs_00631L,transition_count,stock_or_etf_exposure_share,cash_exposure_share,total_cost
balanced_no_bear,P1,5,2015-06-08,2022-12-29,1856,1952591.2686908017,0.9525912686908018,0.09255847805041628,-0.5137367770970156,3.851447593964373,-0.521305851565929,-2.898856325273571,51,0.9428879310344828,0.057112068965517244,457253.0717624567
strict_no_bear,P1,5,2015-06-08,2022-12-29,1856,5201863.188179566,4.201863188179566,0.2437696827612612,-0.5129972755297999,3.851447593964373,-0.521305851565929,0.3504155942151925,14,0.9956896551724138,0.004310344827586207,257423.9973325173
balanced_no_bear,P2,5,2023-01-09,2026-06-29,835,17939308.400327377,16.939308400327377,1.2985097693183443,-0.5205324835016936,6.859566659203765,-0.5514365988579254,10.079741741123613,37,0.9784431137724551,0.02155688622754491,1116962.3330509695
strict_no_bear,P2,5,2023-01-09,2026-06-29,835,15429086.048299361,14.42908604829936,1.2007666710085907,-0.5022632537851175,6.859566659203765,-0.5514365988579254,7.569519389095595,19,0.98562874251497,0.01437125748502994,394884.34478412865
balanced_no_bear,P1,10,2015-06-08,2022-12-29,1856,1888051.8884351375,0.8880518884351374,0.08771123227088373,-0.5195568903418328,3.846585570555419,-0.521305851565929,-2.9585336821202817,51,0.9428879310344828,0.057112068965517244,521402.9572845767
strict_no_bear,P1,10,2015-06-08,2022-12-29,1856,5152518.295089062,4.152518295089062,0.24220242167667094,-0.5129972755297999,3.846585570555419,-0.521305851565929,0.3059327245336432,14,0.9956896551724138,0.004310344827586207,297594.73753182543
balanced_no_bear,P2,10,2023-01-09,2026-06-29,835,17521249.056350026,16.521249056350026,1.2829383854208785,-0.5219735415579428,6.8516899592413,-0.5514365988579254,9.669559097108726,37,0.9784431137724551,0.02155688622754491,1270899.3899757038
strict_no_bear,P2,10,2023-01-09,2026-06-29,835,15221522.854368743,14.221522854368743,1.1921906089491587,-0.5022632537851168,6.8516899592413,-0.5514365988579254,7.369832895127443,19,0.98562874251497,0.01437125748502994,456482.82039386116
balanced_no_bear,P1,20,2015-06-08,2022-12-29,1856,1765212.9438358403,0.7652129438358404,0.07807394067576179,-0.5309974741872798,3.836868836333821,-0.5213058515659291,-3.07165589249798,51,0.9428879310344828,0.057112068965517244,642582.3952463965
strict_no_bear,P1,20,2015-06-08,2022-12-29,1856,5055155.753654917,4.055155753654917,0.2390714685074593,-0.5129972755298,3.836868836333821,-0.5213058515659291,0.2182869173210964,14,0.9956896551724138,0.004310344827586207,376591.8549618261
balanced_no_bear,P2,20,2023-01-09,2026-06-29,835,16713537.137327552,15.713537137327553,1.2520883098653344,-0.5248448316004348,6.835948406056343,-0.5514365988579253,8.87758873127121,37,0.9784431137724551,0.02155688622754491,1563809.9576595821
strict_no_bear,P2,20,2023-01-09,2026-06-29,835,14814433.56344304,13.81443356344304,1.1751258221789578,-0.5022632537851175,6.835948406056343,-0.5514365988579253,6.9784851573866975,19,0.98562874251497,0.01437125748502994,576182.2544828204
