variant_id,period,date,ticker,role,blocker_class,blocked_reason
current_score,P1,2018-01-22,00631L,buy,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg
trend_dd10,P1,2018-01-22,00631L,buy,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg
crash_dd20,P1,2022-08-22,00631L,buy,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg
current_score,P2,2025-06-09,00631L,buy,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg
trend_dd10,P2,2025-06-23,00631L,buy,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg
current_score,P1,2018-01-22,00631L,buy,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg
trend_dd10,P1,2018-01-22,00631L,buy,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg
crash_dd20,P1,2022-08-22,00631L,buy,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg
current_score,P2,2025-06-09,00631L,buy,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg
trend_dd10,P2,2025-06-23,00631L,buy,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg
current_score,P1,2018-01-22,00631L,buy,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg
trend_dd10,P1,2018-01-22,00631L,buy,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg
crash_dd20,P1,2022-08-22,00631L,buy,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg
current_score,P2,2025-06-09,00631L,buy,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg
trend_dd10,P2,2025-06-23,00631L,buy,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg
